"","status_id","status_message","link_name","status_type","status_link","status_published","num_reactions","num_comments","num_shares","num_likes","num_loves","num_wows","num_hahas","num_sads","num_angrys","year","month","day","hour","minute"
"68","348156187501_10151636318177502","b'From London Marathon'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151636318177502/?type=3'",2013-04-21 11:26:26,28470,525,6567,28470,0,0,0,0,0,2013,4,21,11,26
"69","348156187501_10151634813832502","","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151634813832502/?type=3'",2013-04-20 12:46:02,9221,282,4179,9221,0,0,0,0,0,2013,4,20,12,46
"70","348156187501_10151758308257502","b'Blackhawks take out full page ad in the Globe to thank Boston'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151758308257502/?type=3'",2013-06-28 09:24:14,9994,518,3831,9994,0,0,0,0,0,2013,6,28,9,24
"71","348156187501_10151752612797502","","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151752612797502/?type=3'",2013-06-25 10:15:12,4576,162,3340,4576,0,0,0,0,0,2013,6,25,10,15
"72","348156187501_10151663509457502","b'Boston Strongest'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151663509457502/?type=3'",2013-05-07 10:51:04,3515,83,3114,3515,0,0,0,0,0,2013,5,7,10,51
"73","348156187501_10151755570152502","b'Glock Selfie!'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151755570152502/?type=3'",2013-06-26 17:51:35,2859,1023,3049,2859,0,0,0,0,0,2013,6,26,17,51
"74","348156187501_10151884803812502","b'Miley vs. a Chicken...Advantage Chicken'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151884803812502/?type=3'",2013-08-26 09:45:55,4019,608,2773,4019,0,0,0,0,0,2013,8,26,9,45
"75","348156187501_10151626366332502","b'We Are Boston'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151626366332502/?type=3'",2013-04-15 19:16:43,13186,100,2693,13186,0,0,0,0,0,2013,4,15,19,16
"76","348156187501_10151675432977502","b'This ""Boston Strong"" picture is whats hot on the internet streets right now'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151675432977502/?type=3'",2013-05-14 15:26:46,4416,122,2215,4416,0,0,0,0,0,2013,5,14,15,26
"77","348156187501_10151662387192502","b'Nice sign, dickhead'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151662387192502/?type=3'",2013-05-06 18:29:31,1301,1579,2171,1301,0,0,0,0,0,2013,5,6,18,29
"78","348156187501_10151644845082502","","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10151644845082502/?type=3'",2013-04-26 09:22:10,9980,123,1902,9980,0,0,0,0,0,2013,4,26,9,22
"79","348156187501_10152032170117502","b'11 years old, 8 parades. Just another Saturday in Boston'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10152032170117502/?type=3'",2013-11-02 09:16:15,17105,305,1832,17105,0,0,0,0,0,2013,11,2,9,16
"80","348156187501_10152025212482502","","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10152025212482502/?type=3'",2013-10-31 00:43:34,16391,141,1812,16391,0,0,0,0,0,2013,10,31,0,43
